Country,Region,Population
Afghanistan ,ASIA (EX. NEAR EAST),31056997.0
Algeria ,NORTHERN AFRICA,32930091.0
American Samoa ,OCEANIA,57794.0
Angola ,SUB-SAHARAN AFRICA,12127071.0
Antigua & Barbuda ,LATIN AMER. & CARIB,69108.0
Argentina ,LATIN AMER. & CARIB,39921833.0
Armenia ,C.W. OF IND. STATES,2976372.0
Aruba ,LATIN AMER. & CARIB,71891.0
Australia ,OCEANIA,20264082.0
Austria ,WESTERN EUROPE,8192880.0
Azerbaijan ,C.W. OF IND. STATES,7961619.0
"Bahamas, The ",LATIN AMER. & CARIB,303770.0
Bangladesh ,ASIA (EX. NEAR EAST),147365352.0
Belarus ,C.W. OF IND. STATES,10293011.0
Belgium ,WESTERN EUROPE,10379067.0
Belize ,LATIN AMER. & CARIB,287730.0
Benin ,SUB-SAHARAN AFRICA,7862944.0
Bhutan ,ASIA (EX. NEAR EAST),2279723.0
Bolivia ,LATIN AMER. & CARIB,8989046.0
Bosnia & Herzegovina ,EASTERN EUROPE,4498976.0
Botswana ,SUB-SAHARAN AFRICA,1639833.0
British Virgin Is. ,LATIN AMER. & CARIB,23098.0
Brunei ,ASIA (EX. NEAR EAST),379444.0
Bulgaria ,EASTERN EUROPE,7385367.0
Burkina Faso ,SUB-SAHARAN AFRICA,13902972.0
Burma ,ASIA (EX. NEAR EAST),47382633.0
Burundi ,SUB-SAHARAN AFRICA,8090068.0
Cambodia ,ASIA (EX. NEAR EAST),13881427.0
Cameroon ,SUB-SAHARAN AFRICA,17340702.0
Canada ,NORTHERN AMERICA,33098932.0
Cape Verde ,SUB-SAHARAN AFRICA,420979.0
Cayman Islands ,LATIN AMER. & CARIB,45436.0
Central African Rep. ,SUB-SAHARAN AFRICA,4303356.0
Chad ,SUB-SAHARAN AFRICA,9944201.0
Chile ,LATIN AMER. & CARIB,16134219.0
China ,ASIA (EX. NEAR EAST),1313973713.0
Colombia ,LATIN AMER. & CARIB,43593035.0
Comoros ,SUB-SAHARAN AFRICA,690948.0
"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA,62660551.0
"Congo, Repub. of the ",SUB-SAHARAN AFRICA,3702314.0
Cook Islands ,OCEANIA,21388.0
Costa Rica ,LATIN AMER. & CARIB,4075261.0
Cote d'Ivoire ,SUB-SAHARAN AFRICA,17654843.0
Croatia ,EASTERN EUROPE,4494749.0
Cuba ,LATIN AMER. & CARIB,11382820.0
Cyprus ,NEAR EAST,784301.0
Czech Republic ,EASTERN EUROPE,10235455.0
Denmark ,WESTERN EUROPE,5450661.0
Djibouti ,SUB-SAHARAN AFRICA,486530.0
Dominica ,LATIN AMER. & CARIB,68910.0
Dominican Republic ,LATIN AMER. & CARIB,9183984.0
East Timor ,ASIA (EX. NEAR EAST),1062777.0
Ecuador ,LATIN AMER. & CARIB,13547510.0
Egypt ,NORTHERN AFRICA,78887007.0
